,Name,Type,R.A.,Dec.,z,Phot.
58,SN1972R,Ib,"09:21:56,00:00:00.000,09:21:56.7,09:21:57.52","+50:57.3,+50:57:20.0,+50:57:27.0",0.0021,76.0
60,SN2012au,Ib,"12:54:52.18,12:54:52.2,12:54:52.181,12:54:52.08","-10:14:50.2,-10:14:50,-10:14:50.21,-10:14:50.28",0.0045,73.0
61,SN2006dn,Ib,"22:47:37.84,22:47:37.841,22:47:37.630,22:47:37.560,22:47:37.68,22:47:37.62,22:47:37.44","+39:52:46.8,+39:52:46.81,+39:52:50.23,+39:52:50.16,+39:52:50.2",0.017062,70.0
62,SN2006F,Ib,"02:28:11.43,02:28:11.37,02:28:11.371","+19:36:12.3,+19:36:13.5,+19:36:13.50",0.013913,69.0
65,SN2005hm,Ib,"21:39:00.65,21:39:00.72,21:39:00.650","-01:01:38.7,-01:01:38.676,-01:01:38.64,-01:01:38.892,-01:01:38.71",0.034782,67.0
69,SN2011am,Ib,"12:16:26.00,12:16:25.999,12:16:26.4","-43:19:20.0,-43:19:19.99,-43:19:21.36",0.0066,60.0
70,SN2014C,Ib,"22:37:05.60,22:37:05.599","+34:24:31.9,+34:24:31.90",0.002722,60.0
71,SN2019agx,Ib,"13:29:56.650,13:29:56.640,13:29:56.64","+38:24:19.72,+38:24:20.16,+38:24:19.8","0.036,0.035,0.036,0.035",59.0
72,SN2007gl,Ib,"03:11:33.24,03:11:33.21,03:11:33.209","-00:44:47.0832,-00:44:46.7,-00:44:47.3712,-00:44:46.72",0.028198,58.0
75,SN2005hl,Ib,"20:55:19.80,20:55:19.68,20:55:19.79,20:55:19.790","+00:32:34.5,+00:32:35,+00:32:34.73,+00:32:34.76,+00:32:34.415,+00:32:34.7,+00:32:34.69",0.023181,48.0
83,ASASSN-14ms,Ib,"13:04:08.69,13:04:08.64","+52:18:46.5,+52:18:46.44","0.065,0.063,0.054",43.0
84,SN1984I,Ib,"13:14:36,00:00:00.000,13:14:36.9,13:14:37.19","-42:40.1,-42:40:05.0,-42:40:05.2",0.011,43.0
85,SN2016jev,Ib,"04:10:48.936,04:10:48.940,04:10:48.93","+05:28:21.78,+05:28:21.7",0.032,42.0
86,SN2018alc,Ib,"14:33:19.980,14:33:19.875,14:33:19.92,14:33:19.98","+41:16:02.35,+41:16:01.50,+41:16:02.28,+41:16:02.3,+41:16:01.56","0.01814,0.01814",42.0
87,SN2001B,Ib,"04:57:19.24,04:57:19.31,04:57:19.241","+78:11:16.5,+78:11:16.6,+78:11:16.51","0.0052,0.0052",41.0
90,SN2006jo,Ib,"01:23:14.72,01:23:14.712,01:23:14.688,01:23:14.719","-00:19:46.7,-00:19:46.704,-00:19:47.0136,-00:19:46.70",0.076921,40.0
92,SN1985F,Ib,"12:41:33.01,12:41:33.050,12:41:33.05","+41:09:05.9,+41:09:05.94,+41:09:06.30,+41:09:06.3","0.0018,0.0018",38.0
94,SN2001ej,Ib,"07:23:43.23,07:23:43.231","+33:26:38.0,+33:26:38.00",0.013,36.0
97,OGLE-2014-SN-014,Ib,04:27:23.75,-74:42:11.1,0.043,34.0
99,PS15bgt,Ib,"22:46:05.04,17:29:29.18","-10:59:48.4,+75:42:39.0,-10:59:47.9","0.0089,0.0044",32.0
100,ASASSN-15mj,Ib,"14:02:15.640,14:02:15.64,14:02:15.6","+33:39:40.29,+33:39:40.3,+33:39:40.32",0.034371,31.0
